OBJECTID,Borough,Type,Provider,Remarks,SSID,Activated,Latitude,Longitude
8641,QU,Free,Spot On Networks,Free - Up to 25 mbs Wi-Fi Service,Quensbridge Connected,2018-05-01,40.755727,-73.944583
8642,QU,Free,Spot On Networks,Free - Up to 25 mbs Wi-Fi Service,Quensbridge Connected,2018-05-01,40.755333,-73.944131
8643,QU,Free,Spot On Networks,Free - Up to 25 mbs Wi-Fi Service,Quensbridge Connected,2018-05-01,40.755751,-73.945166
8644,QU,Free,Spot On Networks,Free - Up to 25 mbs Wi-Fi Service,Quensbridge Connected,2018-05-01,40.755751,-73.945166
8645,QU,Free,Spot On Networks,Free - Up to 25 mbs Wi-Fi Service,Quensbridge Connected,2018-05-01,40.755751,-73.945166
8646,QU,Free,Spot On Networks,Free - Up to 25 mbs Wi-Fi Service,Quensbridge Connected,2018-05-01,40.755751,-73.945166
8647,QU,Free,Spot On Networks,Free - Up to 25 mbs Wi-Fi Service,Quensbridge Connected,2018-05-01,40.755751,-73.945166
8648,QU,Free,Spot On Networks,Free - Up to 25 mbs Wi-Fi Service,Quensbridge Connected,2018-05-01,40.75529,-73.945633
8649,QU,Free,Spot On Networks,Free - Up to 25 mbs Wi-Fi Service,Quensbridge Connected,2018-05-01,40.75529,-73.945633
8650,QU,Free,Spot On Networks,Free - Up to 25 mbs Wi-Fi Service,Quensbridge Connected,2018-05-01,40.755636,-73.947657
8651,QU,Free,Spot On Networks,Free - Up to 25 mbs Wi-Fi Service,Quensbridge Connected,2018-05-01,40.755636,-73.947657
8652,QU,Free,Spot On Networks,Free - Up to 25 mbs Wi-Fi Service,Quensbridge Connected,2018-05-01,40.755636,-73.947657
1,BK,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.65831,-73.94406
2,BK,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.658,-73.94723
3,BK,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.658,-73.94723
4,BK,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.65743,-73.94716
5,BK,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.65743,-73.94716
6,BX,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.846314,-73.824472
7,BX,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.847596,-73.82223
8,BX,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.848159,-73.821071
9,BX,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.848322,-73.82075
10,BX,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.849233,-73.82105
11,BX,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.849196,-73.821055
