OBJECTID,Borough,Type,Provider,Name,Location,Latitude,Longitude,X,Y,Location_T,Remarks,City,SSID,SourceID,Activated,BoroCode,BoroName,NTACode,NTAName,CounDist,Postcode,BoroCD,CT2010,BCTCB2010,BIN,BBL,DOITT_ID,"Location (Lat, Long)"
8641,QU,Free,Spot On Networks,QUEENS BRIDGE - JACOB A. RIIS Settlement House,10-25 41 AVENUE,40.755727,-73.944583,999603.2262,214613.2746,Indoor AP - Community Center - Computer Rm,Free - Up to 25 mbs Wi-Fi Service,Queens,Quensbridge Connected,NYC HOUSING AUTHORITY,2018-05-01T00:00:00,4,Queens,QN68,Queensbridge-Ravenswood-Long Island City,26,11101,401,25,4002500,4433386,4004700100,4746,"{'latitude': '40.755727', 'needs_recoding': False, 'longitude': '-73.944583', 'human_address': '{""address"":"""",""city"":""Queens"",""state"":"""",""zip"":""""}'}"
8642,QU,Free,Spot On Networks,QUEENS BRIDGE - JACOB A. RIIS Settlement House,10-43 41 AVENUE,40.755333,-73.944131,999728.5439,214469.8071,Indoor AP - Queens Public Library,Free - Up to 25 mbs Wi-Fi Service,Queens,Quensbridge Connected,NYC HOUSING AUTHORITY,2018-05-01T00:00:00,4,Queens,QN68,Queensbridge-Ravenswood-Long Island City,26,11101,401,25,4002500,4433386,4004700100,4747,"{'latitude': '40.755333', 'needs_recoding': False, 'longitude': '-73.944131', 'human_address': '{""address"":"""",""city"":""Queens"",""state"":"""",""zip"":""""}'}"
8643,QU,Free,Spot On Networks,QUEENS BRIDGE - JACOB A. RIIS Settlement House,10-05 41 AVENUE,40.755751,-73.945166,999441.7012,214621.9169,Indoor AP - North Management Office,Free - Up to 25 mbs Wi-Fi Service,Queens,Quensbridge Connected,NYC HOUSING AUTHORITY,2018-05-01T00:00:00,4,Queens,QN68,Queensbridge-Ravenswood-Long Island City,26,11101,401,25,4002500,4433386,4004700100,4748,"{'latitude': '40.755751', 'needs_recoding': False, 'longitude': '-73.945166', 'human_address': '{""address"":"""",""city"":""Queens"",""state"":"""",""zip"":""""}'}"
8644,QU,Free,Spot On Networks,QUEENS BRIDGE - JACOB A. RIIS Settlement House,10-05 41 AVENUE,40.755751,-73.945166,999441.7012,214621.9169,Indoor AP - North Management Office,Free - Up to 25 mbs Wi-Fi Service,Queens,Quensbridge Connected,NYC HOUSING AUTHORITY,2018-05-01T00:00:00,4,Queens,QN68,Queensbridge-Ravenswood-Long Island City,26,11101,401,25,4002500,4433386,4004700100,4749,"{'latitude': '40.755751', 'needs_recoding': False, 'longitude': '-73.945166', 'human_address': '{""address"":"""",""city"":""Queens"",""state"":"""",""zip"":""""}'}"
8645,QU,Free,Spot On Networks,QUEENS BRIDGE - JACOB A. RIIS Settlement House,10-05 41 AVENUE,40.755751,-73.945166,999441.7012,214621.9169,Indoor AP - North Maintenance Area,Free - Up to 25 mbs Wi-Fi Service,Queens,Quensbridge Connected,NYC HOUSING AUTHORITY,2018-05-01T00:00:00,4,Queens,QN68,Queensbridge-Ravenswood-Long Island City,26,11101,401,25,4002500,4433386,4004700100,4750,"{'latitude': '40.755751', 'needs_recoding': False, 'longitude': '-73.945166', 'human_address': '{""address"":"""",""city"":""Queens"",""state"":"""",""zip"":""""}'}"
8646,QU,Free,Spot On Networks,QUEENS BRIDGE - JACOB A. RIIS Settlement House,10-05 41 AVENUE,40.755751,-73.945166,999441.7012,214621.9169,Indoor AP - North Maintenance Area,Free - Up to 25 mbs Wi-Fi Service,Queens,Quensbridge Connected,NYC HOUSING AUTHORITY,2018-05-01T00:00:00,4,Queens,QN68,Queensbridge-Ravenswood-Long Island City,26,11101,401,25,4002500,4433386,4004700100,4751,"{'latitude': '40.755751', 'needs_recoding': False, 'longitude': '-73.945166', 'human_address': '{""address"":"""",""city"":""Queens"",""state"":"""",""zip"":""""}'}"
8647,QU,Free,Spot On Networks,QUEENS BRIDGE - JACOB A. RIIS Settlement House,10-05 41 AVENUE,40.755751,-73.945166,999441.7012,214621.9169,Indoor AP - North Maintenance Area,Free - Up to 25 mbs Wi-Fi Service,Queens,Quensbridge Connected,NYC HOUSING AUTHORITY,2018-05-01T00:00:00,4,Queens,QN68,Queensbridge-Ravenswood-Long Island City,26,11101,401,25,4002500,4433386,4004700100,4752,"{'latitude': '40.755751', 'needs_recoding': False, 'longitude': '-73.945166', 'human_address': '{""address"":"""",""city"":""Queens"",""state"":"""",""zip"":""""}'}"
8648,QU,Free,Spot On Networks,QUEENS BRIDGE - JACOB A. RIIS Settlement House,10-06 41 AVENUE,40.75529,-73.945633,999312.4236,214453.879,Indoor AP - South Management Office,Free - Up to 25 mbs Wi-Fi Service,Queens,Quensbridge Connected,NYC HOUSING AUTHORITY,2018-05-01T00:00:00,4,Queens,QN68,Queensbridge-Ravenswood-Long Island City,26,11101,401,25,4002500,4433386,4004700100,4753,"{'latitude': '40.75529', 'needs_recoding': False, 'longitude': '-73.945633', 'human_address': '{""address"":"""",""city"":""Queens"",""state"":"""",""zip"":""""}'}"
8649,QU,Free,Spot On Networks,QUEENS BRIDGE - JACOB A. RIIS Settlement House,10-06 41 AVENUE,40.75529,-73.945633,999312.4236,214453.879,Indoor AP - South Management Office,Free - Up to 25 mbs Wi-Fi Service,Queens,Quensbridge Connected,NYC HOUSING AUTHORITY,2018-05-01T00:00:00,4,Queens,QN68,Queensbridge-Ravenswood-Long Island City,26,11101,401,25,4002500,4433386,4004700100,4754,"{'latitude': '40.75529', 'needs_recoding': False, 'longitude': '-73.945633', 'human_address': '{""address"":"""",""city"":""Queens"",""state"":"""",""zip"":""""}'}"
8650,QU,Free,Spot On Networks,QUEENS BRIDGE - JACOB A. RIIS Settlement House,41-15 VERNON BLVD,40.755636,-73.947657,998751.5974,214579.5965,Indoor AP - South Maintenance Area,Free - Up to 25 mbs Wi-Fi Service,Queens,Quensbridge Connected,NYC HOUSING AUTHORITY,2018-05-01T00:00:00,4,Queens,QN68,Queensbridge-Ravenswood-Long Island City,26,11101,401,25,4002500,4433410,4004650000,4755,"{'latitude': '40.755636', 'needs_recoding': False, 'longitude': '-73.947657', 'human_address': '{""address"":"""",""city"":""Queens"",""state"":"""",""zip"":""""}'}"
